Das Photonenraumschiff;Dimiter Peew;;;1969;Das neue Berlin;134;
Das Raumschiff;Edwin Orthmann (Hrsg.);;;1977;Neues Leben, Berlin;384;
Das Rätsel des Silbermonds;Hubert Horstmann;;;1971;Das neue Berlin;272;
Das Wasser des Mars;Klaus Frühauf;;;1977;Neues Leben, Berlin;255;
Das Zeugnis des Propheten Joseph Smith;Kirche Jesu Christi der Heiligen der Letzten Tage;;;1985;;28;
Das Ölschieferskelett;Bernhard Kegel;;;1998;Wilhelm Heyne;411;9783453131453
DDR-Schmalspurbahn-Archiv;Klaus Kieper, Reiner Preuß;;;2011;transpress;406;9783613714052
Death Cache. Tödliche Koordinaten;Danise Juno;;Fiction;23/05/2016;ACABUS Verlag;300;9783862824168
Der autorisierte Führer zu Frank Herberts phantastischem Meisterwerk Der Wüstenplanet;Willis E. MacNelly;;;1985;Heyne;569;9783453311060
Der Campus;Dietrich Schwanitz;;;1996;Goldmann;382;9783442433490
Der Dativ ist dem Genitiv sein Tod;Bastian Sick;;;19/08/2004;KiWi-Taschenbuch;240;9783462034486
Der englische Patient;Michael Ondaatje;;Fiction;01/01/1997;dtv;326;9783423084048
Der falsche Mann im Mond;Gerhard Branstner;;;1974;VEB Hinstorff Verlag Rostock;245;
Der ferne Regenbogen. Eine utopische Erzählung.;Arkadi Strugatzki, Boris Strugatzki;;;04/1998;Suhrkamp Verlag KG;157;3518374567
Der Flop;Stanisław Lem, Hubert Schumann;;Powieść polska;1986;Verlag Volk und Welt. Volk und Welt;;3-353-00018-6
Der ganze Mensch;John Brunner;;;1978;Heyne Verlag;203;9783453305168
Der Gotteswahn;Richard Dawkins;;;2008;Ullstein Taschenbuch;586;9783548372327
Der Heiligen Schein;Josef Imbach;;Christian saints;1999;Echter;279;3429021146
Der infrarote Korsar;Wiglaf Droste;;;10/2004;Reclam Leipzig;192;9783379201100
Der Irrtum des großen Zauberers;Johanna Braun, Günter Braun;;;;Das neue Berlin;242;3-360-00091-9
Der Krieg mit den Molchen;Karel Čapek;Bibliothek der Weltliteratur;;1973;Aufbau-Verlag Berlin und Weimar;336;
Der letzte Tag auf der Venus;Karlheinz Steinmüller;Kompaß-Bücherei (Band 247);;1983;Neues Leben, Berlin;173;
Der Magnetiseur;E. T. A. Hoffmann;;;1987;Aufbau-Verlag;267;3351004370
Der Mann aus Cyrene;François Alwyn Venter;;;1965;St.Benno-Verlag, Leipzig;342;
Der Mann ohne jede Idee. Erzählungen.;Thomas M. Disch;;;04/1993;Heyne Verlag;299;3-453-05015-0
Der Planet des Todes;Stanisław Lem;;;1960;Volk und Welt, Berlin;280;
Der purpurne Planet;Karl-Heinz Tuschel;Kompaß-Bücherei (Band 230);;1971;Verlag Neues Leben Berlin;296;
Der Quastenflosser. Die abenteuerliche Geschichte der Entdeckung eines lebenden Fossils;Samantha Weinberg;;;01/06/2001;Fischer;251;9783596150892
Der Samenbankraub;Gert Prokop;;;1985;Das neue Berlin;423;
Der Schnupfen;Stanislaw Lem;;;1979;Volk und Welt, Berlin;202;
Der Schockwellenreiter;John Brunner;;;1979;;300;3-453-30584-1
Der Schreiber Bartleby;Herman Melville;Bibliothek von Babel;;1989;Goldmann TB;78;9783442093229
Der Seelenfänger;Harold Robbins;;;1982;Bertelsmann Club GmbH;357;
Der Südpol schmilzt;J. und S. Safronow;;SF;1960;Verlag Kultur und Fortschritt, Berlin;208;
Der Tag des Opritschniks;Vladimir G. Sorokin;;;2008;;220;9783462039238
Der Tod einer Stadt;Frank Herbert;;;1994;Heyne;890;9783453079533
Der Unbesiegbare;Stanislaw Lem;;;;Volk und Welt, Berlin;231;
Der Untergang der Stadt Passau;Carl Amery;;;1995;Heyne;128;9783453303324
Der wahre E;Klaus-Peter Möller;;Militaria;2000;Lukas Verlag;334;9783931836221
Der Waldkönig. Eine Erzählung aus dem Erzgebirge;Karl May;;;1990;;0;3730306154
Der Wüstenplanet-Zyklus in 6 Bänden. Band 1: Der Wüstenplanet. Band 2: Der Herr des Wüstenplaneten. Band 3: Die Kinder des Wüstenplaneten. Band 4: Der Gottkaiser des Wüstenplaneten. Band 5: Die Ketzer des Wüstenplaneten. Band 6: Die Ordensburg des Wüstenplaneten.;Frank Herbert;;;1995;Weltbildverlag,;0;3-453-02092-8
Der Wüstenplanet: Enzyklopädie, Band 2;Frank Herbert, Willis E. McNelly;;;10/1999;Heyne;570;9783453311077
Der Zirkel;Dietrich Schwanitz;;;2000;Goldmann Verlag;445;9783442443482
Deutsche Dampfzüge;Hans Faust, Günther Feuereißen;;;12/1995;Gondrom Verlag GmbH;224;9783811210110
Deutsche Kirchenlieder;Adolf Müller, Alfred Stier;;;1934;Verlag der sächsischen Posaunenmission;64;
Die Abholzung : Roman.;Franz Josef Degenhardt;;;1987;Berlin , Weimar : Aufbau-Verlag,;288;3351003811
Die Bibel für Dummies;Jeffrey Geoghegan, Michael Homan;;;20/03/2006;Wiley-VCH Verlag GmbH & Co. KGaA;430;9783527702534
Die Birnen von Ribbeck;Friedrich Christian Delius;;;01/02/2013;Rowohlt Taschenbuch;80;9783499259944
Die Dampfmaschine (3 Bände in 4 Büchern);Max Friedrich Gutermuth;;;1984;Transpress, Berlin;0;
Die Differenz-Maschine;William Gibson, Bruce Sterling;;Computers;01/1992;Heyne;572;9783453053809
Die Falle des Gargancjan;Stanislaw Lem;;;1986;Reclam;293;3-379-00020-5
Die Festung;Lothar-Günther Buchheim;;Militaria;09/1996;Hoffmann u Campe Vlg GmbH;1469;3455007333
Die Flußwelt der Zeit;Philip José Farmer;;;1994;Heyne;251;9783453074170
Die Foundation-Trilogie;Isaac Asimov;;Life on other planets;2006;Heyne;904;9783453164178
Die Geburt einer Stahlratte. Erster Roman des Stahlratten-Zyklus.;Harry Harrison;;;03/1995;Heyne;284;9783453024991
Die goldene Kette;Alexander Grin;Kompaß-Bücherei (Band 328);;1985;Neues Leben, Berlin;176;
Die Haarteppichknüpfer;Andreas Eschbach;;German fiction;1998;Heyne;323;9783453133181
Die Hyperion-Gesänge;Dan Simmons;;;2004;Heyne Verlag;1449;9783453215283
Die Jagd;Stanislaw Lem;;;1972;Volk und Welt, Berlin;320;
Die Jury: Roman;John Grisham;;;2010;Heyne Verlag;620;9783453061187
Die Jäger des roten Mondes / Die Flüchtlinge des roten Mondes;Marion Zimmer Bradley;;;01/06/1995;Ullstein;520;9783548236803
Die Kosmonauten;Richard David Precht;;;2009;Goldmann Verlag;413;9783442472215
Die Kreutzersonate. Nachwort von H. Lorenz.;Leo N. Tolstoi;;;1999;Eduard Kaiser Verlag.;;9783704310545
Die Kunst des klaren Denkens;Rolf Dobelli;;;01/05/2014;dtv Verlagsgesellschaft;256;9783423348263
Die letzte Legende der Erde;A. A. Attanasio;;;01/10/1991;Bastei Lübbe;576;9783404241484
Die Macht der Drei;Hans Dominik;;;1955;Ernst Keils Nachfolger Berlin;359;
Die Nackten und die Toten;Norman Mailer;;Militaria;;Bertelsmann Club GmbH;703;
Die philosophische Hintertreppe;Wilhelm Weischedel;;Philosoph - Geschichte;1994;dtv Verlagsgesellschaft;300;9783423300209
Die purpurnen Flüsse;Jean-Christophe Grangé;;;2006;Süddeutsche Zeitung;330;9783866152595
Die Radiotrinkerin;Max Goldt;;;1993;Heyne;156;9783453063730
Die Radiotrinkerin. Ausgesuchte schöne Texte;Max Goldt;;;1991;Haffmans;0;9783251011124
Die Reise zum Stern der Beschwingten;Gerhard Branstner;;;1983;VEB Hinstorff Verlag Rostock;198;
Die Satanischen Verse;Salman Rushdie;;;1989;Artikel 19 Verlag;543;
Die schrecklichen Kinder der Neuzeit: Über das anti-genealogische Experiment der Moderne (suhrkamp taschenbuch);Peter Sloterdijk;;;06/07/2015;Suhrkamp Verlag;489;9783518466032
Die Strudlhofstiege oder Melzer und die Tiefe der Jahre;Heimito von Doderer;;;1996;Dtv;908;9783423122474
Die verlorene Erde. Die Heimkehr 01.;Orson Scott Card;;;04/1993;Bastei-Lübbe;349;9783404241675
Die Verschwiegenheit der Lady Anne;Saki;Bibliothek von Babel;;1989;Goldmann TB;130;9783442087075
Die Wasserstoffsonate;Iain Banks;;;14/07/2014;Heyne;704;9783453315464
Die zweite Invasion der Marsmenschen;Arkadi und Boris Strugatzki;Volk und Welt Spektrum (Band 90);;1976;Volk und Welt, Berlin;110;
Digitales Business;Bill Gates;;;1999;Heyne;487;3453158598
DinoPark;Michael Crichton;;;04/1993;Knaur;535;9783426600214
