Schneckenmühle: Langsame Runde;Jochen Schmidt;;;18/07/2013;C.H.Beck;220;9783406646980
Schneewittchen und die sieben Geißlein;Claudia Thoß;;;2010;fhl Verlag Leipzig;196;9783942025218
Schritt für Schritt zum Top-Modell;Wolfram Kawlath;;Modellbau;1990;Falken-Verlag;96;4009803900018
Segelkriegsschiffe;Ulrich Israel, Jürgen Gebauer;;Militaria;1982;Militärverlag der DDR;124;
Shampoo Planet;Douglas Coupland;;;01/01/1996;Goldmann;0;3442422736
Shining;Stephen King;;Fiction;27/10/2011;Bastei Lübbe (Bastei Verlag);624;9783404130085
Sieben fielen vom Himmel;Alexander Kröger;Kompaß-Bücherei (Band 202);;1976;Neues Leben, Berlin;349;
Skunk Works;Ben R. Rich, Leo Janos;;Business & Economics, Militaria;1994;Little Brown & Company;370;9780316743303
Sniper One: The Blistering True Story of a British Battle Group Under Siege (English Edition);Dan Mills;;Militaria;15/05/2008;Penguin;384;9780141029016
Snow crash;Neal Stephenson;;;1995;;533;9783442236862
Sofies Welt;Jostein Gaarder;;;1996;Hanser;613;9783446173477
Soldaten;Eberhard Binder, Helmut Selle;;Militaria;1963;Deutscher Militärverlag;348;
Stalingrad;Horst Zank;;Militaria;01/07/2007;Mittler & Sohn;236;9783813208313
Stalingrad;Antony Beevor;;Militaria;2002;Orbis;0;9783572013128
Stalingrad;Theodor Plievier;;Militaria;2001;KiWi-Taschenbuch;456;9783462030549
Starship Troopers;Robert Anson Heinlein;;Fiction;1987;Penguin;263;0-441-78358-9
Stauffenberg und der 20. Juli 1944;Kurt Finker;;Militaria;1989;Union Verlag Berlin;368;
Sterntagebücher;Stanislaw Lem;;;;Volk und Welt, Berlin;156;
Stichwort Katholische Kirche;Wilhelm Rees;;;09/1995;Heyne;95;9783453056138
Superintelligenz;Nick Bostrom;;;11/04/2016;Suhrkamp Verlag;480;9783518586846
Supernova: Roman;Charles Stross;;;01/08/2005;Heyne;528;9783453520523
Technologie des Schiffsmodellbaus;Dieter Johansson;Modellsportbücherei (Band 1);Modellbau;1976;transpress;96;
Terraplane. Roman.;Jack Womack;;;05/1993;Heyne Verlag;316;9783453049864
The Edge of Human;K.W. Jeter;;;01/08/1996;Spectra;320;0-553-57570-8
The Ghost Brigades;John Scalzi;;Fiction;05/2007;Macmillan;374;9780765354068
The Indisputable Existence of Santa Claus;Hannah Fry, Dr Thomas Oléron Evans;;Mathematik;16/11/2017;Black Swan;160;9781784162740
The Last Colony;John Scalzi;;Fiction;29/07/2008;Macmillan;336;9780765356185
The Meaning of Liff;Douglas Adams, John Lloyd;;Humor;10/10/2013;Pan Macmillan;224;9780752227592
The stand;Stephen King;;Biological warfare;1992;Bastei Lübbe;1196;9783404134113
The Ultimate Hitchhiker's Guide to the Galaxy: Five Novels in One Outrageous Volume;Douglas Adams;;;30/04/2002;Del Rey;832;9780345453747
The War of the Worlds;H.G. Wells;;;1898;Leipzig: Bernhard Tauchnitz;288;
Thomas von Aquin;Josef Pieper;;;1957;Pieper;235;
Trainspotting;Irvine Welsh, Peter Torberg;;;1999;Goldmann Verlag;382;9783442436880
Treason. Der Spender-Planet;Orson Scott Card;;;07/1998;Bastei Lübbe;332;9783404241408
U-Boot JULIETT U-461: U-Boot Buch Maritim Museum Peenemünde;Olaf Pestow;;Militaria;20/04/2000;Goessgen, Ingo;112;3-00-005694-7
Ulysses;James Joyce;Suhrkamp Taschenbuch (Band 2551);;1996;Suhrkamp Verlag;989;
Use of Weapons;Iain Banks;;Science fiction;1992;Orbit Books;411;9781857231359
Utopia;Thomas Morus;;;2007;Weltbildverlag;174;9783828949379
Utopia;Thomas Morus;;Utopias;1992;;252;3-458-32906-4
Vater der Menschheit;John Gribbin, Peter Robert;;;1991;Heyne Verlag;233;9783453050051
Vaterland;Robert Harris;;;01/1995;Heyne;377;9783453074668
Verlorene Siege;Erich von Manstein;;Militaria;1979;Bernard&Graefe Verlag für Wehrwesen, München;664;
Via Mala;John Knittel;;;1990;Heyne TB;698;9783453022805
Virtuelle Gemeinschaft;Howard Rheingold;;;1994;;392;3893196714
Vom Kriege;C von Clausewitz;;Militaria;06/2003;AREA Verlag ein Imprint der TANDEM VERLAG GmbH;400;9783899960143
Vom Sinn des Soldatseins;AK;;Militaria;1989;Militärverlag der DDR;114;
Vom Zauber des seitlich dran Vorbeigehens;Max Goldt;;;18/01/2005;Rowohlt Buchverlag;176;3498024973
Von Ellison bis Haldeman;James ( Hrsg.) Gunn;Wege zur Science Fiction (Band 7);;1991;Heyne;0;9783453050242
Von Malzberg bis Benford;James E. Gunn;Wege zur Science Fiction (Band 10);;1993;Heyne;235;9783453062443
Von Mattheson bis Shaw;James E. Gunn;Wege zur Science Fiction (Band 8);;1992;Heyne;313;9783453054172
Waffen und Militärtechnik der Nationalen Volksarmee 1956-1971 im Armeemuseum der DDR;M. Kunz;;Militaria;1977;Ministerium für Nationale Verteidigung;80;
Wandelgermanen: Hartmut und ich stehen im Wald (Ein Hartmut-und-ich-Roman);Oliver Uschmann;;;01/09/2008;FISCHER Taschenbuch;384;9783596172481
Wanderer;Arkadi Strugatzki, Boris Strugatzki;;;1997;Heyne;218;3453126483
Warum schweigen die Lämmer?;Rainer Mausfeld;;Politik;04/09/2018;Westend Verlag;256;9783864892257
Wegweisung zum Leben;Hans J. Boecker;;;2000;Deutsche Bibelgesellschaft;143;9783438062147
Wenn man einen weissen Anzug anhat;Max Goldt;;Authors, German;2002;Rowohlt Buchverlag;158;3498024930
Wenzels Pilz;Bernhard Kegel;;;01/01/1999;Heyne;363;9783453147256
Wer bin ich - und wenn ja, wie viele?;Richard David Precht;;Ethics;2007;Goldmann;397;9783442311439
Werkausgabe;Arkadij N. Strugackij, Boris Strugatzki;;;2014;;1037;9783453312142
Werkausgabe;Arkadij N. Strugackij, Boris N. Strugackij;;;2012;;879;9783453526860
Werkausgabe;Arkadij N. Strugackij, Boris Strugatzki;;;2011;;896;9783453526853
Werkausgabe. 5. Der Weg zur Amalthea;Arkadij N. Strugackij, Boris Strugatzki;;;2013;Heyne Verlag;860;9783453310285
Wetware;Rudy Rucker;;;1991;Heyne;252;9783453049956
Wilde Erdbeeren und andere Filmerzählungen.;Ingmar Bergman;;;01/1983;Heyne Verlag;400;045301139X
Windschiefe Geraden;Angela und Karlheinz Steinmüller;;;1984;Das neue Berlin;215;
Winterplanet. Sonderausgabe.;Ursula K. Le Guin;;;1991;Heyne;365;9783453050266
Wir;Jewgenij I. Samjatin;;;01/1984;Kiepenheuer & Witsch;224;9783462016079
Wir bauen mit Balsa;Hans-J. Lehne;;;;;;
Wir haben Sie irgendwie grösser erwartet;Tom Holt, Kalla Wefel;;;1994;;301;9783453072718
World War Z;Max Brooks;;Fiction;09/2011;Three Rivers Press (CA);420;9780307888686
Zur Theologie des Buches;Karl Rahner;;;1962;St.Benno-Verlag, Leipzig;59;
»Sprutz«. In den Fängen der NVA.;Peter Tannhoff;;Militaria;23/09/2010;Steve-Holger Ludwig;144;978-3-933598-84-4
Ä. Kolumnen;Max Goldt;;;1998;WilhelmHeyne;204;9783453137158
